secuencial,tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,subcont_nac,cont_nac,via_tran,mot_viam,pais_prod,subcont_prod,cont_prod,lug_prod,pais_res,subcont_res,cont_res,jef_migr,pro_jefm,can_jefm,cla_migr,ocu_migr,edad
40483759,Salida,Extranjero,2023,Abril,17,Hombre,Italia,Europa Meridional,Europa,Vía Aérea,Turismo,Panamá,América Central,América,Panamá City,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,,Menores de edad,13
81917745,Salida,Ecuatoriano,2023,Agosto,7,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Venezuela,América del Sur,América,Barcelona Venezuela,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Estudiantes,30
20744184,Salida,Ecuatoriano,2023,Febrero,5,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Nicaragua,América Central,América,Managua,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Personal de apoyo administrativo no clasificado bajo otros epigrafes,18
125472420,Entrada,Ecuatoriano,2023,Diciembre,8,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Personal de apoyo administrativo no clasificado bajo otros epigrafes,63
50483763,Salida,Ecuatoriano,2023,Mayo,7,Mujer,Ecuador,América del Sur,América,Vía Aérea,Turismo,Nicaragua,América Central,América,Managua,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,13
14601464,Salida,Ecuatoriano,2023,Enero,28,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Las Vegas Nevada,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Ingenieros civiles,52
63265626,Salida,Ecuatoriano,2023,Junio,3,Mujer,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,New York New York,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Peluqueros,40
44191704,Entrada,Extranjero,2023,Abril,14,Mujer,Francia,Europa Occidental,Europa,Vía Aérea,Turismo,Francia,Europa Occidental,Europa,Paris,Francia,Europa Occidental,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Sin especificar,48
50483740,Salida,Ecuatoriano,2023,Mayo,11,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,República Dominicana,"América, El Caribe",América,Punta Cana,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,13
75184893,Salida,Ecuatoriano,2023,Julio,2,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Newark New Jersey,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Abogados,59
