id_secuencial,tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,subcont_nac,cont_nac,via_tran,mot_viam,pais_prod,subcont_prod,cont_prod,lug_prod,pais_res,subcont_res,cont_res,jef_migr,pro_jefm,can_jefm,ocu_migr,edad,cla_migr
1800469,Salida,Extranjero,2025,Noviembre,12,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Jubilados y pensionistas,81,Inmigrantes 10-I
4114994,Salida,Extranjero,2025,Marzo,4,Hombre,Taiwán (República de China),Asia Oriental,Asia,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Jubilados y pensionistas,78,Inmigrantes 10-II
4067828,Entrada,Extranjero,2025,Marzo,9,Hombre,Taiwán (República de China),Asia Oriental,Asia,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Jubilados y pensionistas,78,Inmigrantes 10-II
1749957,Salida,Extranjero,2025,Noviembre,17,Hombre,Filipinas,Asia Asia Sudoriental,Asia,Vía Aérea,Otros,Estados Unidos de América,América del Septentrional,América,Seattle Washington,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Marineros de cubierta y afines,66,Inmigrantes 10-III
1160377,Entrada,Extranjero,2025,Junio,29,Hombre,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Personal de apoyo administrativo no clasificado bajo otros epigrafes,64,Inmigrantes 10-III
530410,Entrada,Extranjero,2025,Agosto,31,Hombre,Colombia,América del Sur,América,Vía terrestre,Turismo,Colombia,América del Sur,América,Pasto,Ecuador,América del Sur,América,Centro Nacional de Atención Fronteriza Rumichaca,Carchi,Tulcán,Asesores financieros y en inversiones,46,Inmigrantes 10-III
1121793,Salida,Extranjero,2025,Julio,5,Hombre,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Personal de apoyo administrativo no clasificado bajo otros epigrafes,64,Inmigrantes 10-III
445312,Salida,Extranjero,2025,Septiembre,11,Hombre,Colombia,América del Sur,América,Vía terrestre,Residencia,Colombia,América del Sur,América,Pasto,Ecuador,América del Sur,América,Centro Nacional de Atención Fronteriza Rumichaca,Carchi,Tulcán,Asesores financieros y en inversiones,46,Inmigrantes 10-III
3043413,Entrada,Extranjero,2025,Enero,12,Hombre,Colombia,América del Sur,América,Vía terrestre,Turismo,Colombia,América del Sur,América,Pasto,Ecuador,América del Sur,América,Centro Nacional de Atención Fronteriza Rumichaca,Carchi,Tulcán,Jubilados y pensionistas,71,Inmigrantes 10-IV
6196508,Entrada,Extranjero,2025,Marzo,11,Mujer,Bélgica,Europa Occidental,Europa,Vía Aérea,Residencia,Perú,América del Sur,América,Lima,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Personal de apoyo administrativo no clasificado bajo otros epigrafes,62,Inmigrantes 10-IV
5335552,Entrada,Extranjero,2025,Junio,27,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,53,Inmigrantes 10-IV
5997127,Entrada,Extranjero,2025,Abril,6,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Perú,América del Sur,América,Lima,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,52,Inmigrantes 10-IV
3554521,Salida,Extranjero,2025,Julio,13,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Atlanta Georgia,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Personal de apoyo administrativo no clasificado bajo otros epigrafes,53,Inmigrantes 10-IV
4689442,Entrada,Extranjero,2025,Febrero,5,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,52,Inmigrantes 10-IV
5734477,Salida,Extranjero,2025,Mayo,7,Mujer,Chile,América del Sur,América,Vía Aérea,Eventos,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Dentistas,52,Inmigrantes 10-IV
5920152,Salida,Extranjero,2025,Abril,14,Mujer,Chile,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,San Francisco California,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,52,Inmigrantes 10-IV
4818604,Salida,Extranjero,2025,Enero,17,Mujer,Chile,América del Sur,América,Vía Aérea,Turismo,España,Europa Meridional,Europa,Barcelona,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,52,Inmigrantes 10-IV
4672141,Salida,Extranjero,2025,Febrero,11,Mujer,Chile,América del Sur,América,Vía Aérea,Turismo,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,52,Inmigrantes 10-IV
5755522,Entrada,Extranjero,2025,Mayo,3,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,España,Europa Meridional,Europa,Barcelona,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,52,Inmigrantes 10-IV
3453328,Entrada,Extranjero,2025,Julio,24,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Newark New Jersey,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,53,Inmigrantes 10-IV
138692,Entrada,Extranjero,2025,Diciembre,16,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Perú,América del Sur,América,Lima,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,53,Inmigrantes 10-IV
4217085,Salida,Extranjero,2025,Septiembre,6,Mujer,Chile,América del Sur,América,Vía Aérea,Turismo,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Dentistas,53,Inmigrantes 10-IV
2460689,Entrada,Extranjero,2025,Octubre,24,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,53,Inmigrantes 10-IV
5356592,Entrada,Extranjero,2025,Junio,26,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Eventos,Estados Unidos de América,América del Septentrional,América,Atlanta Georgia,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Personal de apoyo administrativo no clasificado bajo otros epigrafes,53,Inmigrantes 10-IV
2996871,Salida,Extranjero,2025,Enero,18,Hombre,Croacia,Europa Meridional,Europa,Vía Aérea,Residencia,Perú,América del Sur,América,Lima,Croacia,Europa Meridional,Europa,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Jubilados y pensionistas,91,Inmigrantes 10-IV
6225278,Salida,Extranjero,2025,Marzo,8,Mujer,Bélgica,Europa Occidental,Europa,Vía Aérea,Turismo,Perú,América del Sur,América,Lima,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Personal de apoyo administrativo no clasificado bajo otros epigrafes,62,Inmigrantes 10-IV
2435820,Salida,Extranjero,2025,Octubre,28,Mujer,Chile,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Dentistas,53,Inmigrantes 10-IV
485366,Entrada,Extranjero,2025,Agosto,25,Hombre,España,Europa Meridional,Europa,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Auxiliares laicos de las religiones,78,Inmigrantes 10-IV
1113303,Salida,Extranjero,2025,Julio,4,Hombre,España,Europa Meridional,Europa,Vía Aérea,Residencia,España,Europa Meridional,Europa,Bilbao,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Auxiliares laicos de las religiones,78,Inmigrantes 10-IV
4110299,Salida,Extranjero,2025,Marzo,4,Hombre,Argentina,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Cartagena de Indias,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Ingenieros no clasificados bajo otros epigrafes,70,Inmigrantes 10-IV
3982648,Entrada,Extranjero,2025,Marzo,16,Hombre,Colombia,América del Sur,América,Vía Aérea,Turismo,Colombia,América del Sur,América,Bogotá Dc,Colombia,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Comerciantes de tiendas,47,Inmigrantes 10-V
5238037,Entrada,Extranjero,2025,Diciembre,2,Hombre,Colombia,América del Sur,América,Vía Aérea,Negocios,Colombia,América del Sur,América,Bogotá Dc,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,"Ingenieros de minas, metalurgicos y afines",54,Inmigrantes 10-V
3847601,Entrada,Extranjero,2025,Abril,1,Hombre,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Cali,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Veterinarios,58,Inmigrantes 10-V
4101401,Salida,Extranjero,2025,Marzo,5,Hombre,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Cali,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Veterinarios,58,Inmigrantes 10-V
830727,Salida,Extranjero,2025,Agosto,3,Hombre,Perú,América del Sur,América,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Abogados,50,Inmigrantes 10-V
89675,Salida,Extranjero,2025,Diciembre,20,Mujer,Perú,América del Sur,América,Vía terrestre,Turismo,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Comerciantes de tiendas,63,Inmigrantes 10-V
3745845,Entrada,Extranjero,2025,Abril,13,Hombre,Perú,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Medellín,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Abogados,49,Inmigrantes 10-V
2025746,Entrada,Extranjero,2025,Octubre,17,Hombre,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Medicos generales,48,Inmigrantes 10-V
5932519,Entrada,Extranjero,2025,Abril,12,Mujer,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Personal de apoyo administrativo no clasificado bajo otros epigrafes,54,Inmigrantes 10-V
3526225,Salida,Extranjero,2025,Julio,16,Mujer,Cuba,"América, El Caribe",América,Vía Aérea,Residencia,Cuba,"América, El Caribe",América,Holguin,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Profesionales de la ensenanza no clasificados bajo otros epigrafes,69,Inmigrantes 10-V
3938874,Salida,Extranjero,2025,Marzo,22,Hombre,Colombia,América del Sur,América,Vía Aérea,Residencia,Colombia,América del Sur,América,Medellín,Colombia,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Comerciantes de tiendas,47,Inmigrantes 10-V
